originalNo,re-No,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,f101,f102,f103,f104,f105,f106,f107,f108,f109
1,1,71.8112,1.0209,7.0356,6.4333,20.9197,11.7394,4.3696,2.9435,14.3083,8.192,0.0099,0.0347,0.086,0.1742,0.3055,0.473,0.6522,0.8082,0.9152,0.9681,0.9776,0.9597,0.9278,0.8912,0.8558,0.8246,0.7994,0.7805,0.7678,0.7561,0.7529,0.7499,0.7459,0.7438,0.7453,0.7492,0.7526,0.7528,0.7487,0.7405,0.7292,0.7158,0.701,0.6853,0.669,0.6525,0.6361,0.6201,0.6048,0.5903,0.5768,0.5641,0.5522,0.5412,0.5309,0.5214,0.5125,0.5044,0.4969,0.4901,0.484,0.4786,0.4737,0.4694,0.4657,0.4624,0.4595,0.457,0.4549,0.453,0.4513,0.4499,0.4486,0.4476,0.4466,0.4459,0.4453,0.4449,0.4446,0.4445,0.4446,0.4448,0.4453,0.446,0.4468,0.4479,0.4492,0.4507,0.4525,0.4545,0.4568,0.4593,0.4621,0.4651,0.4685,0.472,0.4759,0.48,0.4844,0.489,0.494,0.4991,0.5046,0.5103,0.5162,0.5224,0.5288,0.5355,0.5424,0.5495,0.5567,0.5642,0.5718,0.5795,0.5873,0.5951,0.6029,0.6107,0.6182
2,2,58.021,6.0785,8.6344,9.1299,18.6238,2.6644,1.4381,8.5104,2.7345,13.9357,0.0068,0.0233,0.0563,0.1116,0.1935,0.3025,0.433,0.5729,0.7068,0.8204,0.9058,0.9613,0.9906,0.9994,0.9935,0.978,0.9569,0.9329,0.908,0.8604,0.8199,0.788,0.7635,0.7434,0.7244,0.7045,0.6836,0.6624,0.6418,0.622,0.6033,0.5855,0.5686,0.5528,0.538,0.5244,0.5121,0.5011,0.4914,0.4831,0.4761,0.4704,0.4657,0.462,0.4591,0.4569,0.4551,0.4537,0.4523,0.451,0.4495,0.4479,0.4461,0.4441,0.4418,0.4395,0.437,0.4345,0.4319,0.4294,0.4269,0.4245,0.4222,0.42,0.418,0.4161,0.4144,0.4128,0.4114,0.4102,0.4091,0.4081,0.4073,0.4067,0.4061,0.4057,0.4055,0.4053,0.4052,0.4053,0.4054,0.4056,0.406,0.4064,0.4068,0.4074,0.408,0.4086,0.4093,0.4101,0.411,0.4119,0.4128,0.4139,0.4149,0.4161,0.4173,0.4186,0.4199,0.4213,0.4229,0.4244,0.4261,0.4279,0.4298,0.4317,0.4338,0.436,0.4383
3,3,70.6114,6.6538,5.2123,13.2509,25.1267,2.2998,5.6563,11.1686,2.978,5.5159,0.0057,0.0196,0.0471,0.093,0.161,0.2522,0.3639,0.4887,0.6156,0.7329,0.8314,0.9063,0.9571,0.9867,0.999,0.9982,0.9882,0.9719,0.9518,0.9059,0.8586,0.8134,0.7713,0.7325,0.6971,0.665,0.6359,0.6099,0.5865,0.5657,0.5473,0.531,0.5169,0.5047,0.4942,0.4855,0.4784,0.4727,0.4683,0.465,0.4628,0.4615,0.4609,0.461,0.4614,0.4621,0.4629,0.4637,0.4644,0.465,0.4653,0.4654,0.4654,0.4651,0.4646,0.464,0.4633,0.4624,0.4614,0.4604,0.4593,0.4581,0.4568,0.4555,0.4542,0.4529,0.4515,0.4501,0.4488,0.4474,0.4461,0.4448,0.4435,0.4422,0.441,0.4398,0.4387,0.4376,0.4365,0.4355,0.4346,0.4337,0.4329,0.4321,0.4315,0.4309,0.4303,0.4299,0.4295,0.4293,0.4291,0.429,0.429,0.4292,0.4294,0.4297,0.4301,0.4307,0.4314,0.4321,0.433,0.4341,0.4352,0.4365,0.4379,0.4394,0.4411,0.4428,0.4448
4,4,68.2535,5.7832,26.1732,3.397,6.3178,14.527,7.4546,11.686,1.7585,3.6224,0.0037,0.0124,0.0296,0.0578,0.0993,0.1555,0.2263,0.31,0.4031,0.5006,0.597,0.6873,0.7674,0.835,0.8893,0.9305,0.9599,0.9791,0.9897,0.9916,0.9766,0.9521,0.923,0.8922,0.8613,0.8313,0.8028,0.776,0.7511,0.728,0.7067,0.6871,0.6693,0.6531,0.6384,0.6253,0.6137,0.6034,0.5945,0.5869,0.5804,0.5751,0.5708,0.5676,0.5653,0.564,0.5634,0.5635,0.5642,0.5655,0.5671,0.5691,0.5712,0.5735,0.5758,0.578,0.5801,0.582,0.5837,0.5851,0.5863,0.5872,0.5878,0.5882,0.5884,0.5885,0.5883,0.588,0.5877,0.5873,0.5869,0.5864,0.5861,0.5857,0.5855,0.5853,0.5853,0.5854,0.5856,0.5859,0.5864,0.587,0.5877,0.5885,0.5894,0.5905,0.5916,0.5929,0.5942,0.5955,0.597,0.5985,0.6001,0.6018,0.6035,0.6053,0.6071,0.609,0.611,0.613,0.6151,0.6172,0.6195,0.6218,0.6242,0.6267,0.6292,0.6319,0.6346
5,5,78.5285,5.5299,27.3246,9.2655,4.3039,4.8741,3.0393,11.4892,11.4496,12.7949,0.0049,0.0166,0.0397,0.078,0.1345,0.2106,0.3051,0.4134,0.5283,0.641,0.7432,0.8293,0.8964,0.9445,0.9754,0.9921,0.9975,0.9944,0.9851,0.9552,0.9183,0.8798,0.8426,0.8079,0.7759,0.7464,0.7189,0.6932,0.6694,0.6474,0.6272,0.6088,0.592,0.5768,0.5631,0.5507,0.5397,0.5298,0.5212,0.5136,0.507,0.5013,0.4964,0.4922,0.4887,0.4856,0.483,0.4808,0.4789,0.4771,0.4755,0.4741,0.4726,0.4711,0.4696,0.468,0.4664,0.4648,0.4631,0.4614,0.4598,0.4582,0.4567,0.4552,0.4539,0.4528,0.4517,0.4508,0.45,0.4493,0.4488,0.4484,0.4481,0.4479,0.4478,0.4478,0.4479,0.4482,0.4485,0.4489,0.4495,0.4502,0.4509,0.4518,0.4528,0.454,0.4552,0.4566,0.4582,0.4598,0.4617,0.4637,0.4658,0.4682,0.4707,0.4734,0.4763,0.4794,0.4827,0.4863,0.4901,0.4941,0.4985,0.5031,0.508,0.5132,0.5187,0.5246,0.5308
6,6,58.0438,6.977,23.0456,3.8894,19.0658,5.0622,10.6012,6.3599,14.1692,3.9642,0.0122,0.0428,0.1062,0.214,0.3694,0.5559,0.737,0.8747,0.9523,0.976,0.963,0.9296,0.887,0.8422,0.7987,0.7584,0.7219,0.6896,0.6614,0.6165,0.5845,0.5614,0.5423,0.5233,0.5029,0.4818,0.4613,0.4425,0.4261,0.4122,0.4009,0.3921,0.3856,0.3812,0.3787,0.378,0.3787,0.3806,0.3833,0.3865,0.39,0.3933,0.3963,0.3989,0.4009,0.4024,0.4033,0.4039,0.4041,0.4042,0.4041,0.404,0.4039,0.4039,0.4041,0.4044,0.4048,0.4054,0.4061,0.407,0.4079,0.4089,0.4099,0.411,0.412,0.4129,0.4138,0.4146,0.4153,0.4159,0.4164,0.4167,0.4169,0.417,0.4169,0.4167,0.4165,0.4161,0.4156,0.4151,0.4145,0.4139,0.4132,0.4125,0.4118,0.4111,0.4103,0.4096,0.4089,0.4082,0.4075,0.4068,0.4061,0.4054,0.4048,0.4042,0.4036,0.403,0.4024,0.4018,0.4012,0.4007,0.4001,0.3996,0.399,0.3985,0.398,0.3975,0.3969
7,7,84.939,2.9589,13.2425,10.0446,3.3407,8.1682,4.4885,7.1911,9.0505,14.9301,0.0043,0.0145,0.0348,0.0686,0.1187,0.187,0.2732,0.3742,0.4843,0.5955,0.6998,0.7906,0.864,0.9188,0.9564,0.9797,0.9921,0.9969,0.997,0.9909,0.9824,0.9736,0.9652,0.9579,0.951,0.9431,0.9334,0.9216,0.9081,0.893,0.8768,0.8596,0.8418,0.8237,0.8058,0.7882,0.7714,0.7554,0.7403,0.7261,0.7129,0.7006,0.6891,0.6785,0.6686,0.6595,0.6512,0.6435,0.6366,0.6303,0.6246,0.6196,0.6152,0.6114,0.6082,0.6055,0.6034,0.6019,0.6009,0.6004,0.6004,0.6009,0.6019,0.6034,0.6054,0.6078,0.6107,0.6141,0.6179,0.6222,0.627,0.6322,0.6379,0.6441,0.6508,0.658,0.6656,0.6738,0.6825,0.6916,0.7013,0.7115,0.7222,0.7334,0.7451,0.7573,0.7699,0.7829,0.7963,0.8099,0.8237,0.8374,0.851,0.8641,0.8766,0.8881,0.8982,0.9065,0.9127,0.9163,0.9168,0.9141,0.9077,0.8976,0.8837,0.8663,0.8455,0.822,0.7961
8,8,51.9176,4.7196,9.3103,3.886,18.4267,11.0182,8.497,3.4327,2.7237,10.413,0.0086,0.0297,0.0722,0.1439,0.2495,0.3865,0.5421,0.6956,0.8254,0.9186,0.9733,0.9953,0.9935,0.9762,0.9498,0.9189,0.8864,0.8541,0.8232,0.7676,0.7218,0.6858,0.6586,0.6381,0.6213,0.6055,0.5888,0.5707,0.5518,0.533,0.5149,0.4979,0.4822,0.4679,0.4549,0.4434,0.4333,0.4245,0.4169,0.4105,0.4053,0.401,0.3977,0.3952,0.3936,0.3927,0.3925,0.393,0.3941,0.3958,0.3978,0.4003,0.403,0.4059,0.4089,0.4119,0.4149,0.4178,0.4205,0.423,0.4253,0.4273,0.4289,0.4303,0.4313,0.4319,0.4323,0.4323,0.4321,0.4316,0.4309,0.43,0.429,0.4279,0.4267,0.4254,0.4241,0.4227,0.4214,0.4201,0.4187,0.4175,0.4162,0.415,0.4138,0.4126,0.4115,0.4104,0.4094,0.4084,0.4074,0.4064,0.4054,0.4045,0.4036,0.4027,0.4018,0.401,0.4002,0.3994,0.3986,0.3979,0.3971,0.3964,0.3958,0.3951,0.3945,0.3939,0.3934
9,9,66.689,12.7878,27.0698,11.5236,1.7477,11.4174,5.7146,12.5169,2.9201,9.732,0.0062,0.0211,0.0509,0.1007,0.1744,0.2729,0.3925,0.524,0.6545,0.7713,0.8652,0.9327,0.9748,0.9955,0.9996,0.9917,0.9758,0.9547,0.9305,0.8787,0.8272,0.779,0.735,0.6953,0.6595,0.6275,0.5987,0.573,0.5499,0.5292,0.5107,0.4942,0.4795,0.4664,0.455,0.445,0.4363,0.4289,0.4227,0.4176,0.4136,0.4104,0.4081,0.4066,0.4058,0.4055,0.4057,0.4063,0.4072,0.4084,0.4097,0.4112,0.4127,0.4143,0.4159,0.4176,0.4192,0.4207,0.4222,0.4235,0.4248,0.4259,0.4268,0.4276,0.4282,0.4286,0.4289,0.4289,0.4288,0.4286,0.4282,0.4276,0.427,0.4263,0.4255,0.4247,0.4239,0.423,0.4222,0.4214,0.4206,0.4198,0.4191,0.4185,0.4179,0.4174,0.4169,0.4165,0.4162,0.4159,0.4157,0.4156,0.4155,0.4155,0.4156,0.4157,0.4158,0.4161,0.4164,0.4167,0.4171,0.4176,0.4181,0.4187,0.4193,0.42,0.4207,0.4216,0.4224
10,10,57.1621,12.4816,5.9082,3.5113,5.1711,7.0847,13.32,8.744,8.7362,1.7696,0.0056,0.019,0.0457,0.09,0.1554,0.243,0.3505,0.4711,0.5948,0.7106,0.8099,0.8874,0.9424,0.9767,0.9937,0.9975,0.9915,0.9787,0.9614,0.9196,0.8749,0.8315,0.7913,0.755,0.7229,0.6947,0.6703,0.6493,0.6313,0.6158,0.602,0.5895,0.5779,0.5669,0.5566,0.5471,0.5382,0.53,0.5224,0.5152,0.5083,0.5016,0.4949,0.4884,0.4819,0.4755,0.4693,0.4633,0.4575,0.452,0.4467,0.4417,0.437,0.4324,0.4282,0.4241,0.4202,0.4165,0.4129,0.4096,0.4063,0.4033,0.4004,0.3976,0.395,0.3925,0.3902,0.3879,0.3859,0.3839,0.3821,0.3803,0.3787,0.3772,0.3758,0.3746,0.3734,0.3723,0.3713,0.3704,0.3695,0.3688,0.3682,0.3676,0.3672,0.3668,0.3666,0.3664,0.3663,0.3662,0.3663,0.3665,0.3667,0.367,0.3674,0.3679,0.3685,0.3691,0.3698,0.3706,0.3714,0.3723,0.3733,0.3742,0.3751,0.376,0.3769,0.3776,0.3782
