s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,f_target1,f_target2,f_target3,f_target4,f_target5,f_target6,f_target7,f_target8,f_target9,f_target10,f_target11,f_target12,f_target13,f_target14,f_target15,f_target16,f_target17,f_target18,f_target19,f_target20,f_target21,f_target22,f_target23,f_target24,f_target25,f_target26,f_target27,f_target28,f_target29,f_target30,f_target31,f_target32,f_target33,f_target34,f_target35,f_target36,f_target37,f_target38,f_target39,f_target40,f_target41,f_target42,f_target43,f_target44,f_target45,f_target46,f_target47,f_target48,f_target49,f_target50,f_target51,f_target52,f_target53,f_target54,f_target55,f_target56,f_target57,f_target58,f_target59,f_target60,f_target61,f_target62,f_target63,f_target64,f_target65,f_target66,f_target67,f_target68,f_target69,f_target70,f_target71,f_target72,f_target73,f_target74,f_target75,f_target76,f_target77,f_target78,f_target79,f_target80,f_target81,f_target82,f_target83,f_target84,f_target85,f_target86,f_target87,f_target88,f_target89,f_target90,f_target91,f_target92,f_target93,f_target94,f_target95,f_target96,f_target97,f_target98,f_target99,f_target100,f_target101,f_target102,f_target103,f_target104,f_target105,f_target106,f_target107,f_target108,f_target109
95.8363,2.6599,15.1136,2.6599,16.6437,5.3179,8.3403,7.388,2.005,6.9289,0.0013,0.0043,0.0101,0.0195,0.0331,0.0513,0.0744,0.1025,0.1353,0.1723,0.213,0.2566,0.3023,0.3492,0.3965,0.4435,0.4894,0.5337,0.576,0.6533,0.72,0.7762,0.8226,0.8602,0.89,0.9132,0.9309,0.9439,0.953,0.9591,0.9627,0.9643,0.9643,0.9632,0.9611,0.9584,0.9553,0.952,0.9486,0.9452,0.942,0.939,0.9363,0.934,0.9321,0.9307,0.9297,0.9292,0.9292,0.9297,0.9307,0.9322,0.9342,0.9365,0.9393,0.9424,0.9459,0.9495,0.9534,0.9573,0.9613,0.9652,0.969,0.9726,0.976,0.9791,0.9819,0.9844,0.9865,0.9882,0.9897,0.9908,0.9916,0.9922,0.9926,0.9927,0.9928,0.9927,0.9925,0.9923,0.9921,0.9919,0.9918,0.9917,0.9917,0.9918,0.9919,0.9922,0.9926,0.993,0.9935,0.994,0.9945,0.995,0.9955,0.9959,0.9961,0.9962,0.996,0.9955,0.9946,0.9933,0.9916,0.9893,0.9865,0.983,0.9788,0.9739,0.9682
95.7792,2.6046,16.4621,2.6046,14.2619,8.6611,7.5445,7.0526,1.2509,7.6231,0.0014,0.0047,0.0111,0.0213,0.0362,0.0562,0.0815,0.1123,0.1481,0.1886,0.2328,0.2801,0.3293,0.3796,0.4298,0.4793,0.5272,0.573,0.6161,0.6936,0.7586,0.8119,0.8545,0.8878,0.9132,0.932,0.9453,0.9542,0.9596,0.9622,0.9626,0.9614,0.9589,0.9555,0.9514,0.947,0.9425,0.9379,0.9334,0.929,0.925,0.9213,0.9181,0.9152,0.9128,0.911,0.9096,0.9088,0.9084,0.9087,0.9094,0.9107,0.9125,0.9148,0.9176,0.9209,0.9246,0.9288,0.9332,0.938,0.943,0.9482,0.9534,0.9586,0.9637,0.9685,0.9732,0.9775,0.9815,0.985,0.9881,0.9907,0.9929,0.9946,0.996,0.9969,0.9974,0.9977,0.9977,0.9974,0.997,0.9964,0.9958,0.995,0.9943,0.9935,0.9927,0.9919,0.9912,0.9905,0.9898,0.9891,0.9884,0.9876,0.9868,0.9859,0.9848,0.9835,0.9819,0.9801,0.9778,0.9752,0.9721,0.9684,0.9642,0.9593,0.9537,0.9474,0.9403
97.0766,2.0022,5.7801,2.1868,18.9789,9.9989,9.8831,8.8495,4.9344,7.9548,0.0016,0.0054,0.0127,0.0246,0.0418,0.0649,0.0943,0.1299,0.1714,0.218,0.2688,0.3225,0.378,0.434,0.4892,0.5427,0.5935,0.6411,0.6849,0.7608,0.8215,0.8685,0.9038,0.9293,0.9469,0.9581,0.9643,0.9666,0.9659,0.9631,0.9586,0.9529,0.9466,0.9397,0.9327,0.9257,0.9189,0.9123,0.9062,0.9006,0.8955,0.8911,0.8873,0.8842,0.8818,0.8802,0.8794,0.8794,0.8801,0.8816,0.8838,0.8868,0.8905,0.8948,0.8996,0.905,0.9108,0.9169,0.9233,0.9299,0.9365,0.943,0.9494,0.9556,0.9615,0.967,0.9721,0.9767,0.9809,0.9845,0.9877,0.9903,0.9925,0.9943,0.9956,0.9966,0.9972,0.9975,0.9976,0.9975,0.9971,0.9966,0.9959,0.9951,0.9942,0.9931,0.992,0.9906,0.9891,0.9874,0.9854,0.9832,0.9807,0.9778,0.9745,0.9708,0.9665,0.9617,0.9564,0.9504,0.9437,0.9364,0.9284,0.9196,0.9102,0.9002,0.8895,0.8782,0.8664
95.8079,2.0028,5.6153,2.2385,18.9819,9.9988,9.8552,8.8302,5.3677,7.6226,0.0016,0.0055,0.0129,0.0249,0.0423,0.0657,0.0954,0.1315,0.1734,0.2205,0.2717,0.3259,0.3818,0.4381,0.4935,0.5471,0.598,0.6456,0.6893,0.7649,0.8249,0.8711,0.9056,0.9302,0.9469,0.9573,0.9628,0.9645,0.9632,0.9599,0.955,0.949,0.9422,0.9351,0.9279,0.9207,0.9137,0.9071,0.901,0.8953,0.8903,0.8859,0.8822,0.8792,0.8771,0.8757,0.8751,0.8754,0.8765,0.8783,0.8809,0.8842,0.8882,0.8928,0.8979,0.9035,0.9094,0.9156,0.922,0.9284,0.9348,0.9411,0.9471,0.9528,0.9582,0.9631,0.9676,0.9717,0.9753,0.9784,0.981,0.9833,0.9851,0.9866,0.9879,0.9888,0.9895,0.99,0.9904,0.9907,0.9908,0.9909,0.991,0.9909,0.9908,0.9907,0.9905,0.9902,0.9897,0.989,0.9882,0.9871,0.9856,0.9838,0.9816,0.9789,0.9756,0.9717,0.9672,0.9619,0.956,0.9492,0.9418,0.9335,0.9245,0.9147,0.9042,0.893,0.8812
96.2301,2.0032,5.4448,2.2794,18.9761,9.9985,9.849,8.8091,5.7374,7.731,0.0016,0.0055,0.0129,0.0249,0.0423,0.0657,0.0955,0.1315,0.1734,0.2205,0.2717,0.3259,0.3818,0.438,0.4935,0.5471,0.5979,0.6455,0.6892,0.7647,0.8247,0.8709,0.9054,0.93,0.9467,0.9572,0.9627,0.9644,0.9633,0.96,0.9552,0.9493,0.9427,0.9358,0.9286,0.9216,0.9148,0.9084,0.9024,0.897,0.8922,0.888,0.8846,0.8819,0.88,0.879,0.8787,0.8793,0.8806,0.8827,0.8855,0.889,0.8932,0.8978,0.903,0.9085,0.9142,0.9202,0.9262,0.9322,0.9381,0.9438,0.9493,0.9544,0.9591,0.9634,0.9673,0.9708,0.9739,0.9766,0.9789,0.9809,0.9826,0.984,0.9852,0.9863,0.9872,0.9879,0.9886,0.9892,0.9898,0.9902,0.9906,0.991,0.9913,0.9914,0.9915,0.9913,0.991,0.9903,0.9894,0.9881,0.9864,0.9842,0.9815,0.9781,0.9742,0.9695,0.9641,0.958,0.9511,0.9433,0.9349,0.9256,0.9156,0.9049,0.8936,0.8816,0.8691
96.8007,2.002,5.2476,2.2247,18.982,9.9992,9.9015,8.5682,6.2597,8.1773,0.0017,0.0056,0.0132,0.0255,0.0434,0.0674,0.098,0.1349,0.1779,0.2262,0.2786,0.334,0.391,0.4482,0.5045,0.5586,0.6099,0.6575,0.7012,0.776,0.8348,0.8796,0.9125,0.9357,0.951,0.9602,0.9646,0.9653,0.9634,0.9594,0.954,0.9476,0.9406,0.9334,0.9261,0.9189,0.9121,0.9057,0.8998,0.8945,0.8898,0.8859,0.8828,0.8804,0.8789,0.8782,0.8783,0.8793,0.881,0.8835,0.8868,0.8907,0.8951,0.9001,0.9054,0.9111,0.9169,0.9229,0.9288,0.9346,0.9402,0.9456,0.9506,0.9552,0.9595,0.9634,0.9668,0.9699,0.9726,0.975,0.9771,0.979,0.9806,0.982,0.9833,0.9845,0.9856,0.9866,0.9875,0.9884,0.9892,0.99,0.9907,0.9913,0.9918,0.992,0.9921,0.992,0.9915,0.9906,0.9893,0.9876,0.9853,0.9824,0.9788,0.9746,0.9696,0.9639,0.9573,0.95,0.9418,0.9329,0.9232,0.9127,0.9016,0.8898,0.8774,0.8645,0.8511
96.1633,2.0039,5.2828,2.3362,18.9674,9.9982,9.8295,8.7616,6.1199,7.7844,0.0016,0.0055,0.013,0.0251,0.0427,0.0663,0.0963,0.1327,0.1749,0.2224,0.274,0.3285,0.3847,0.4413,0.4969,0.5506,0.6016,0.6491,0.6928,0.768,0.8276,0.8733,0.9071,0.9312,0.9474,0.9573,0.9624,0.9638,0.9623,0.9588,0.9538,0.9477,0.941,0.934,0.9269,0.9198,0.9131,0.9067,0.9009,0.8956,0.8909,0.887,0.8838,0.8814,0.8798,0.879,0.8791,0.8799,0.8815,0.8839,0.8869,0.8906,0.8948,0.8995,0.9046,0.91,0.9155,0.9211,0.9267,0.9322,0.9374,0.9425,0.9471,0.9515,0.9554,0.959,0.9622,0.965,0.9675,0.9696,0.9716,0.9732,0.9747,0.9761,0.9773,0.9785,0.9796,0.9807,0.9817,0.9828,0.9839,0.9849,0.986,0.987,0.988,0.9889,0.9897,0.9903,0.9907,0.9908,0.9905,0.9899,0.9887,0.9871,0.9849,0.982,0.9784,0.974,0.9689,0.963,0.9562,0.9486,0.9401,0.9308,0.9207,0.9099,0.8983,0.8861,0.8733
96.8079,2.0015,5.4177,2.1778,18.9872,9.9994,9.9147,8.6072,5.8711,8.1506,0.0017,0.0056,0.0131,0.0253,0.043,0.0669,0.0971,0.1338,0.1765,0.2244,0.2764,0.3315,0.3881,0.4451,0.5011,0.5552,0.6063,0.654,0.6977,0.7728,0.8321,0.8773,0.9108,0.9344,0.9502,0.9598,0.9645,0.9656,0.9639,0.9601,0.9548,0.9486,0.9417,0.9345,0.9272,0.9201,0.9132,0.9067,0.9007,0.8953,0.8905,0.8864,0.8831,0.8805,0.8787,0.8778,0.8777,0.8784,0.8799,0.8822,0.8852,0.8889,0.8932,0.8981,0.9034,0.9091,0.915,0.9211,0.9273,0.9334,0.9394,0.9452,0.9508,0.9559,0.9607,0.9651,0.9691,0.9727,0.9758,0.9786,0.9809,0.983,0.9848,0.9863,0.9876,0.9887,0.9896,0.9904,0.9911,0.9917,0.9922,0.9927,0.993,0.9932,0.9933,0.9932,0.9929,0.9924,0.9915,0.9903,0.9888,0.9867,0.9842,0.9811,0.9773,0.9729,0.9678,0.962,0.9554,0.948,0.9398,0.9309,0.9212,0.9109,0.8998,0.8881,0.8758,0.8631,0.8499
97.9417,2.0008,5.6961,2.0987,18.9914,9.9997,9.9518,8.5012,5.3568,8.5558,0.0017,0.0056,0.0132,0.0254,0.0432,0.0672,0.0977,0.1346,0.1775,0.2257,0.2782,0.3336,0.3906,0.448,0.5044,0.5587,0.6101,0.6579,0.7017,0.7767,0.8358,0.8809,0.9142,0.9377,0.9534,0.9628,0.9675,0.9684,0.9666,0.9627,0.9574,0.951,0.9441,0.9368,0.9295,0.9223,0.9154,0.9088,0.9027,0.8972,0.8923,0.8881,0.8846,0.8819,0.8799,0.8787,0.8784,0.8789,0.8801,0.8822,0.885,0.8885,0.8927,0.8975,0.9028,0.9086,0.9147,0.9211,0.9276,0.9342,0.9407,0.9472,0.9534,0.9593,0.9648,0.97,0.9747,0.9789,0.9827,0.986,0.9888,0.9912,0.9932,0.9947,0.9959,0.9968,0.9974,0.9977,0.9978,0.9978,0.9975,0.997,0.9964,0.9956,0.9946,0.9935,0.9921,0.9904,0.9884,0.9862,0.9835,0.9804,0.9768,0.9727,0.968,0.9627,0.9567,0.9501,0.9427,0.9346,0.9257,0.9162,0.906,0.8951,0.8836,0.8716,0.859,0.8461,0.8327
96.7738,2.0023,5.7819,2.1789,18.9759,9.9989,9.8786,8.7514,4.8047,8.054,0.0016,0.0055,0.0128,0.0248,0.0421,0.0655,0.0952,0.1311,0.1729,0.2199,0.2711,0.3253,0.3812,0.4375,0.493,0.5467,0.5977,0.6453,0.6891,0.7648,0.825,0.8715,0.9063,0.9312,0.9483,0.959,0.9647,0.9666,0.9656,0.9624,0.9577,0.9518,0.9452,0.9381,0.931,0.9238,0.9168,0.9102,0.9039,0.8982,0.893,0.8885,0.8845,0.8814,0.8789,0.8772,0.8763,0.8762,0.8768,0.8783,0.8805,0.8835,0.8871,0.8914,0.8963,0.9017,0.9076,0.9138,0.9203,0.927,0.9337,0.9405,0.9471,0.9535,0.9596,0.9653,0.9707,0.9756,0.98,0.9838,0.9872,0.9901,0.9924,0.9943,0.9958,0.9968,0.9975,0.9978,0.9979,0.9977,0.9973,0.9967,0.996,0.9951,0.9941,0.9929,0.9916,0.9901,0.9885,0.9867,0.9847,0.9825,0.9799,0.977,0.9737,0.9699,0.9657,0.9609,0.9555,0.9495,0.9429,0.9355,0.9274,0.9186,0.9092,0.899,0.8882,0.8767,0.8647
